,LATITUDE,LONGITUDE,NUMBER OF PERSONS INJURED
666822,40.59166,-74.08768,0.0
519222,40.802876,-73.93598,0.0
132570,40.662693,-73.91871,1.0
74749,40.748955,-73.8997,0.0
8626,,,0.0
840855,,,0.0
65460,40.616383,-73.95264,0.0
485817,40.76854,-73.89342,1.0
246478,40.541744,-74.207,0.0
713980,40.764896,-73.97256,1.0
511414,40.723663,-73.992775,0.0
548712,40.667076,-73.78266,2.0
725244,40.848118,-73.93089,0.0
607197,40.773033,-73.98221,0.0
807563,,,0.0
410145,40.753838,-73.805824,1.0
320942,40.73579,-73.98537,0.0
247954,40.747772,-73.985054,0.0
808886,,,0.0
471625,40.69557,-73.86222,0.0
213393,40.818012,-73.92519,0.0
671781,40.76649,-73.95696,0.0
62667,40.71898,-73.75907,0.0
735630,40.6104,-73.9586,0.0
169626,40.7456,-73.868095,0.0
162422,40.635185,-73.92862,0.0
454864,40.73025,-73.887314,1.0
622164,40.78131,-73.978,0.0
367300,40.663303,-73.948006,0.0
78883,40.760933,-73.73113,0.0
130075,,,0.0
416717,40.65749,-73.893074,0.0
322170,40.594074,-73.979965,0.0
630960,40.758377,-73.994385,0.0
102857,40.68809,-73.79522,0.0
558740,40.762288,-73.9723632,0.0
54104,40.737785,-73.93496,0.0
828387,,,0.0
38721,40.589745,-74.09844,0.0
491383,40.62625,-73.920876,0.0
285192,40.629818,-74.101295,1.0
192666,40.805042,-73.936935,0.0
265186,40.71575,-73.99637,0.0
790232,40.65418,-73.91068,2.0
595282,40.678543,-73.949684,0.0
390745,40.766552,-73.77255,0.0
111197,40.89845,-73.85431,0.0
256728,40.773773,-73.96608,0.0
95495,40.623245,-74.04134,0.0
565265,,,0.0
255619,40.663227,-73.96174,0.0
500934,40.837864,-73.9114,1.0
503524,40.75428,-73.89751,0.0
644888,40.799267,-73.93611,0.0
274349,40.821533,-73.84547,0.0
826245,,,0.0
504850,40.577946,-74.102325,0.0
201063,40.891136,-73.85527,1.0
229589,,,0.0
317531,40.83639,-73.91588,0.0
